Coordinates,Amenity
"49.200357, -123.135862",parks
"49.200587092005165, -123.1375950336242",bikeways
"49.20064314897929, -123.1353140149715",bikeways
"49.201726492592144, -123.0248559183435",bikeways
"49.202224, -123.125036",parks
"49.20235250824011, -123.12797557303915",bikeways
"49.20247755339368, -123.02852777265488",bikeways
"49.203240662219336, -123.13576293768699",bikeways
"49.20363, -123.1375815","cultural, cultural, cultural, cultural, cultural"
"49.2038343, -123.1397305",cultural
"49.203966, -123.1300261","cultural, cultural, cultural, cultural"
"49.204245392192, -123.03677260645571",bikeways
"49.20441303782242, -123.13879789162337",bikeways
"49.204428789639174, -123.02474591085071",bikeways
"49.20446493818909, -123.13700792036838",schools
"49.204487, -123.134666","cultural, cultural, cultural, cultural, cultural"
"49.20449262522073, -123.11749579193992",bikeways
"49.2047023, -123.1338135","cultural, cultural, cultural, cultural, cultural"
"49.2047835962309, -123.02726161630231",bikeways
"49.204835031759586, -123.02337535581893",bikeways
"49.205116129009774, -123.14076077980592",bikeways
"49.20512853390855, -123.02970748265736",bikeways
"49.20523092257523, -123.14108150691659",bikeways
"49.205320074936154, -123.03106572967752",bikeways
"49.20532863663963, -123.12125536302989",bikeways
"49.20532990867154, -123.03424280394482",bikeways
"49.20533226259725, -123.04934127121396",bikeways
"49.205358165274816, -123.03449314643855",bikeways
"49.205392294138115, -123.03474209128",bikeways
"49.20539907230701, -123.03378439583548",bikeways
"49.205426614559705, -123.03499086247783",bikeways
"49.205447526568356, -123.14212050933888",bikeways
"49.20546093431146, -123.03523963403813",bikeways
"49.20546476542179, -123.05214153370746",bikeways
"49.205468, -123.132836",parks
"49.205485805851254, -123.04588351059007",bikeways
"49.205491003747, -123.0438750627445",bikeways
"49.205495068764115, -123.0354885476577",bikeways
"49.20550352774437, -123.0323654161009",bikeways
"49.205507, -123.138307",parks
"49.20550844779098, -123.0997229509709",greenways
"49.20551252206332, -123.04352319379115",bikeways
"49.20552567525891, -123.0357383346008",bikeways
"49.205532, -123.056883",parks
"49.20554483072276, -123.14180283214958",bikeways
"49.2055604612499, -123.0359866824318",bikeways
"49.205575441857135, -123.11827092392714",bikeways
"49.205590112205506, -123.03623550267021",bikeways
"49.205600535622004, -123.11910145178585",bikeways
"49.205601409824496, -123.0432997914962",bikeways
"49.20563048844751, -123.05509575505486",bikeways
"49.20563522440316, -123.0364752713427",bikeways
"49.20566614798496, -123.11957106148573",bikeways
"49.20568709898024, -123.03659580010368",bikeways
"49.20569361086791, -123.04277397542117",bikeways
"49.20576664145656, -123.02528623719965",bikeways
"49.20578520513864, -123.1231762607179",bikeways
"49.2058366115394, -123.14844534320835",bikeways
"49.20584955622084, -123.05563455731222",bikeways
"49.20587682, -123.05065448",gardens
"49.205895780165775, -123.03514089105533",bikeways
"49.205901556938656, -123.0366866089908",bikeways
"49.20590709825526, -123.11821932292372",bikeways
"49.20591938178594, -123.05394820540525",bikeways
"49.205951, -123.04575",parks
"49.20595742421713, -123.05917372897726",bikeways
"49.20597792434994, -123.05684755924537",bikeways
"49.20601441523111, -123.06385055818726",bikeways
"49.206057225664686, -123.0529260167178",bikeways
"49.20611826548996, -123.04229845553292",bikeways
"49.206181470171124, -123.05141691646531",bikeways
"49.20622379788939, -123.06552769086706",bikeways
"49.206266020811256, -123.14226129624858",bikeways
"49.20626682265303, -123.11733134192937",bikeways
"49.20627549940856, -123.03751895921914",bikeways
"49.20627942288682, -123.05685101493876",bikeways
"49.20631900860599, -123.14922013864755",bikeways
"49.20633114383886, -123.06183414013654",bikeways
"49.20637444721052, -123.04906546259998",bikeways
"49.2064027, -123.1179859","cultural, cultural, cultural, cultural, cultural"
"49.2064788, -123.1423354","cultural, cultural, cultural, cultural, cultural"
"49.206517, -123.129241",parks
"49.20653279465407, -123.03667554034881",bikeways
"49.20660498283232, -123.11731405574994",bikeways
"49.20664075944892, -123.06634643956616",bikeways
"49.206651771299256, -123.04030292778756",bikeways
"49.206674422294675, -123.04225979720427",bikeways
"49.20669330389288, -123.04496923375501",bikeways
"49.20672422109064, -123.10684441258037",bikeways
"49.206748980370975, -123.05685645331734",bikeways
"49.206775238175496, -123.10465383616881",bikeways
"49.206787, -123.142733",parks
