Condition_x,Coordinates,Condition_y
,"49.200751928485126, -123.13547552955592",Very Good
VERY GOOD,"49.20093156754392, -123.13293018697388",
GOOD,"49.20095225876796, -123.13534291186937",
GOOD,"49.20136296381196, -123.13392289124901",
VERY POOR,"49.201613166251995, -123.13048707566578",
VERY GOOD,"49.20186955324509, -123.13506286031405",
VERY GOOD,"49.20204954441289, -123.02332025290126",
POOR,"49.20216276788924, -123.13377493915137",
,"49.20262821104002, -123.12639299377776",Good
GOOD,"49.20269289475863, -123.12653596947499",
FAIR,"49.202747234770825, -123.13482784387813",
,"49.20280873882196, -123.1348794696632",Very Good
FAIR,"49.20325211017188, -123.12893380839198",
,"49.2033430632253, -123.1359329711258",Fair
,"49.203351626518305, -123.13322469655357",Fair
POOR,"49.20340384189433, -123.02326791987574",
,"49.203420971249045, -123.1358685599221",Very Good
VERY POOR,"49.20347463754277, -123.13041854501073",
POOR,"49.20352451591029, -123.12904992385074",
,"49.20367576783223, -123.13470650410054",Fair
,"49.20368912753831, -123.13484333405789",Very Good
VERY GOOD,"49.2037283730831, -123.13477145626874",
VERY GOOD,"49.203748898840324, -123.13110684927935",
,"49.20395175217364, -123.1257043287538",Very Good
VERY GOOD,"49.203955678594824, -123.14292681885674",
VERY POOR,"49.20398412167165, -123.125769724836",
,"49.20411001807824, -123.13657588695783",Very Poor
,"49.2041531443743, -123.13669636888265",Fair
GOOD,"49.20418261979514, -123.13659122712987",
,"49.20421767316111, -123.13110236244844",Very Good
,"49.204228603513705, -123.13264231013822",Poor
,"49.20424914743568, -123.1340597294434",Very Good
VERY GOOD,"49.20426773280037, -123.13253060545019",
,"49.204281379304824, -123.13045918323738",Very Good
VERY POOR,"49.204294382455146, -123.14209454427933",
VERY GOOD,"49.20429482836228, -123.13409251911878",
,"49.204318039949484, -123.13260481738644",Very Good
VERY POOR,"49.2043289575513, -123.13038665602616",
,"49.20433957913547, -123.1340908760177",Good
,"49.20434181096747, -123.13556512798952",Good
,"49.20434490674825, -123.1355382021701",Very Good
FAIR,"49.20434780696159, -123.13554149108369",
,"49.20438427386808, -123.1388631359734",Poor
,"49.20445662113711, -123.1387789095119",Very Good
NO DATA,"49.20449183181151, -123.12422621494726",
VERY POOR,"49.20451871264011, -123.12833176249913",
VERY GOOD,"49.204518871968304, -123.0253633853789",
VERY POOR,"49.20473175054599, -123.14128914050956",
,"49.204745953500776, -123.13711597605702",Very Good
FAIR,"49.20477270229094, -123.13704506492509",
,"49.20482042755856, -123.13703771456484",Very Good
,"49.20482734419385, -123.12965093393069",Fair
VERY GOOD,"49.20483142082317, -123.12339475859558",
,"49.204840031404046, -123.02344388450597",Very Good
,"49.20484177719543, -123.13169080231573",Very Good
,"49.20484618772922, -123.13182796314273",Fair
POOR,"49.20485606370856, -123.02341823324187",
,"49.20492234491935, -123.02857199280305",Very Good
FAIR,"49.20496274054011, -123.13175302314907",
,"49.20498097483483, -123.1410039230507",Good
FAIR,"49.20498668597561, -123.13340523217846",
,"49.204986961177035, -123.13333867782691",Very Good
,"49.20498898851399, -123.13347592578896",Good
,"49.20500578110607, -123.1346591783928",Good
,"49.20500771692115, -123.13479642621321",Good
VERY GOOD,"49.20500985596877, -123.13472556408772",
,"49.2050367761135, -123.14111159555155",Very Good
GOOD,"49.20506671577524, -123.14193366685284",
VERY GOOD,"49.20507462388232, -123.02932551002961",
VERY POOR,"49.205076363181036, -123.1442430240829",
,"49.20509855354456, -123.13043063711478",Good
,"49.205109272737154, -123.13620061671931",Very Good
GOOD,"49.20511848689397, -123.13625471768573",
GOOD,"49.20512361391369, -123.13040819004706",
,"49.205132223983625, -123.13633046137211",Fair
,"49.205183330200285, -123.02977008586893",Very Good
,"49.20531217454622, -123.1386711511804",Very Poor
FAIR,"49.20534833953077, -123.13862119511387",
VERY GOOD,"49.20536529043146, -123.03670645783036",
,"49.20536586915197, -123.03658244944809",Very Good
,"49.2053838481494, -123.13859622039404",Poor
,"49.20538660616954, -123.13770708411717",Good
GOOD,"49.20539794371992, -123.1377732107098",
,"49.20541192260458, -123.13784352635572",Very Good
,"49.20542318811402, -123.14156421097901",Very Good
FAIR,"49.20542359561808, -123.12078154590829",
,"49.20542603070006, -123.14056495747968",Very Good
,"49.20542639154919, -123.12822473768195",Fair
,"49.20548358305325, -123.1283429575734",Very Good
,"49.205516988495916, -123.1251500451111",Very Good
,"49.2056076069556, -123.13103843647207",Very Good
,"49.2056325371035, -123.13255767427252",Very Good
,"49.20563688618374, -123.03681593173322",Very Good
VERY GOOD,"49.20565327200223, -123.13106367993785",
,"49.20565511467209, -123.13404422924218",Very Good
,"49.20567551986143, -123.13546998187073",Good
POOR,"49.20567768800412, -123.13255276281312",
VERY POOR,"49.20569674239982, -123.11717164474364",
,"49.20569753541347, -123.13103542053459",Very Good
FAIR,"49.20570019401796, -123.13403504312251",
GOOD,"49.20571197964443, -123.12542819883396",
VERY POOR,"49.20572058552025, -123.13546247274313",
,"49.205721211359695, -123.13852924296906",Very Poor
,"49.20572246489726, -123.13255456492467",Fair
POOR,"49.20573360158108, -123.03399634552461",
,"49.205742735758534, -123.13995799269816",Good
VERY POOR,"49.20574336219967, -123.13699280919232",
,"49.20574504432867, -123.13404100576993",Fair
,"49.20576544858134, -123.13546677473263",Fair
POOR,"49.205766225401156, -123.13852314630785",
,"49.205783264900376, -123.04778741049032",Very Good
,"49.20578405923119, -123.04765012540578",Very Good
GOOD,"49.20578505230356, -123.03948608213902",
POOR,"49.205786268925344, -123.13985447045383",
,"49.205788257562716, -123.13699668800876",Fair
,"49.20581113670116, -123.13852613075396",Good
GOOD,"49.205814612419296, -123.14172497326194",
,"49.20583266575384, -123.13995487622287",Poor
,"49.20585278415378, -123.0514140192412",Very Good
VERY GOOD,"49.20585784002632, -123.05819293042849",
GOOD,"49.20587144122481, -123.04227791350661",
VERY GOOD,"49.205907842269205, -123.11821530583967",
POOR,"49.205928425842764, -123.04771442691352",
,"49.205953703552616, -123.11821960126196",Very Good
GOOD,"49.205966753290085, -123.03669090594543",
VERY GOOD,"49.20598256030229, -123.05033029400664",
,"49.206009352914506, -123.12683674865501",Good
,"49.206052213684146, -123.14641996524023",Very Good
FAIR,"49.20606655649396, -123.1234517970662",
VERY GOOD,"49.206093652334104, -123.06051444293422",
,"49.20609726006223, -123.12688184380316",Very Good
GOOD,"49.206110590054564, -123.14642386389002",
GOOD,"49.20611613380805, -123.05225571841885",
,"49.20611993063158, -123.04236705717074",Very Good
,"49.2061670447764, -123.02340594818922",Very Good
VERY POOR,"49.206184062470015, -123.10243653753903",
,"49.206184670371925, -123.02715275989914",Very Good
,"49.206253529794964, -123.03800681813055",Very Good
,"49.206254324494765, -123.13025426326136",Very Good
FAIR,"49.206258594238975, -123.11631223636635",
,"49.206268326235445, -123.03745922211294",Very Good
,"49.20627102607131, -123.02711433235157",Very Good
,"49.20627884459343, -123.13039075690655",Good
FAIR,"49.20628216076122, -123.13037382835142",
,"49.206295165628084, -123.05058312714046",Fair
,"49.206297804928646, -123.12765434103042",Very Good
,"49.20629992716799, -123.1316419048781",Fair
,"49.20630232533151, -123.13177915052451",Very Poor
GOOD,"49.20630271776992, -123.13170843454488",
POOR,"49.20630828976963, -123.12758319187846",
VERY GOOD,"49.206312159950755, -123.04226772184143",
VERY GOOD,"49.20632560199261, -123.06181492517004",
FAIR,"49.2063266114441, -123.13335727256904",
,"49.20632752254069, -123.13329062499899",Very Poor
,"49.20632959654711, -123.13342787222624",Good
,"49.20634681688159, -123.13461132444839",Very Good
,"49.20634880580535, -123.13474857183013",Good
VERY GOOD,"49.20634978764027, -123.13467780631454",
,"49.2063534351948, -123.04222291326946",Very Good
,"49.20636427233041, -123.0450079241706",Very Good
,"49.206368977030365, -123.13614219691426",Good
FAIR,"49.206370926678915, -123.13620869149675",
,"49.206371009835095, -123.13627944345497",Good
,"49.206391951877094, -123.13767185319523",Very Good
POOR,"49.20639211510712, -123.11907980182133",
,"49.2063940130638, -123.13780909893346",Very Good
,"49.206395645665786, -123.03080419601098",Very Good
GOOD,"49.206396157770236, -123.13773825021715",
,"49.206399291414364, -123.14545894554264",Very Good
,"49.2064038223095, -123.06351136156397",Fair
NO DATA,"49.20640839892875, -123.10686137028549",
VERY GOOD,"49.20640928520529, -123.04499823146361",
,"49.20641408442235, -123.1406673946107",Very Good
,"49.206414973328165, -123.13920204340194",Good
FAIR,"49.206416154585426, -123.13926855983232",
,"49.20641703157152, -123.13933930107677",Fair
,"49.206434527852586, -123.14052935492116",Very Good
,"49.20644479440026, -123.05692174731587",Very Good
VERY GOOD,"49.20644723451761, -123.05685299199335",
,"49.20644735075209, -123.14232000606611",Very Good
,"49.206457427401546, -123.05960712081546",Very Good
,"49.20646862999273, -123.1421876966958",Good
VERY GOOD,"49.20647496165709, -123.10820115443154",
VERY GOOD,"49.206493887894624, -123.03946690798978",
VERY GOOD,"49.20651114482231, -123.03666271184223",
,"49.20652216279271, -123.03674448532337",Fair
,"49.20654842792207, -123.06288832294473",Very Good
,"49.20655941458576, -123.12638287630203",Fair
,"49.20662407724192, -123.04078597082501",Very Good
,"49.20663069313853, -123.12561170224087",Very Good
,"49.206632175680475, -123.06283820876939",Very Good
GOOD,"49.206645622066254, -123.06414049005876",
GOOD,"49.20665843843537, -123.04225985724888",
,"49.20665955473442, -123.0403526391166",Very Good
VERY GOOD,"49.20669027213827, -123.04496716016192",
VERY GOOD,"49.20671362797512, -123.05953356737385",
